Gender,GivenName,MiddleInitial,Surname,TropicalZodiac,Occupation,BloodType
male,William,C,Turner,Virgo,"Multimedia artist",O+
female,Ola,J,Buss,Cancer,"Auditing clerk",A-
male,Joseph,S,Aguirre,Sagittarius,Molder,B+
female,Erica,D,Carnes,Libra,Astronomer,A+
male,Esteban,E,Willie,Gemini,"Food service worker",B+
male,Robert,A,Henderson,Pisces,"Clinical laboratory scientist",O+
female,Coreen,D,Heinemann,Libra,"Employee training specialist",A+
male,Thomas,S,Long,Aquarius,"Community support worker",O+
male,Kevin,V,Jones,Capricorn,"Personal care aide",A+
male,Earl,M,Matheney,Leo,"Pipe organ repairer",O+
female,Lonna,L,Fuentes,Libra,"Abdominal sonographer",O-
female,Cathy,L,Davis,Sagittarius,"Legal assistant",O+
male,Carol,L,Gaul,Gemini,"Office and administrative support worker manager",A+
male,Herman,M,Styles,Gemini,"Guide interpreter",AB+
female,Betty,M,Culp,Libra,"Wastewater treatment plant and system operator",A+
male,Kevin,M,Jackson,Pisces,"Gaming manager",A+
male,Ralph,M,Gaither,Taurus,"Poultry farmer",B+
female,Arlene,G,Relyea,Taurus,Checker,B+
female,Shirley,R,Fisher,Leo,"Ticket agent",A-
female,Tiffany,R,Ransom,Taurus,"Web programmer",O+
female,Mindy,A,Sanroman,Cancer,"Winch operator",O+
female,Ruby,M,Chambers,Taurus,Veterinarian,A+
female,Edith,D,Rainer,Aquarius,Illustrator,O+
female,Jennifer,D,Davis,Scorpio,"Railcar repairer",A+
male,Jose,B,Smith,Sagittarius,"Public address system announcer",O+
female,Hazel,K,Anderson,Taurus,Compositor,A+
female,Shawana,R,Dugan,Leo,Historian,O+
male,David,M,Perry,Taurus,Commissioner,A+
female,Rebecca,D,Irvin,Aquarius,"Unclaimed property officer",B+
male,Randall,D,Tomlin,Virgo,Stenocaptioner,B-
female,Ina,S,Rye,Virgo,"Data typist",A+
male,Henry,A,White,Gemini,"Strength trainer",B+
female,Elfriede,J,Ferrara,Leo,Songwriter,A+
male,Bradford,M,Turner,Pisces,"Training consultant",O+
female,Hayley,L,Bell,Leo,"Landscape contractor",A+
male,Greg,T,Allen,Pisces,"Data processor",O+
male,George,C,Adolph,Leo,"Plan examiner",O+
female,Crystal,W,Ferrara,Virgo,"Power tool repairer",O+
male,Tony,S,Groff,Pisces,"Hand packer",O-
female,Monica,J,Griffen,Pisces,"Time and attendance clerk",B+
female,Carolyn,T,Johnson,Scorpio,Coder,O+
male,John,B,Cummings,Virgo,"School bus driver",AB+
male,Clarence,P,Runkle,Libra,"Baggage porter",O+
female,Niki,A,Smith,Pisces,"News anchor",A+
male,Andrew,R,Jaffe,Gemini,"Derrick operator",A+
male,Robert,R,Dews,Gemini,Faller,A+
female,Patricia,K,Miller,Taurus,"Specification inspector",O-
female,Gayle,C,Watkins,Aries,"Health engineer",B+
male,Leslie,J,Arrington,Cancer,"Family practitioner",A+
male,David,E,McCleary,Virgo,"Computer chip processor",B+
male,James,C,Castillo,Aquarius,"Vending machine servicer",B+
female,Lili,R,Furrow,Virgo,"Desk clerk",B+
female,Joslyn,C,Creamer,Scorpio,Dishwasher,AB+
female,Martha,R,Silva,Libra,"Photographic spotter",A+
female,Amanda,T,Edwards,Libra,"Sales clerk",O+
female,Marie,J,Schirmer,Pisces,Polisher,A-
male,Curt,S,Coutee,Virgo,Arborist,A+
female,Doris,T,Reardon,Aries,"Electronic equipment repairer",O+
male,Robert,L,Felton,Taurus,"Computer aide",O+
male,Shirley,P,Billiot,Virgo,"Assignment clerk",A+
male,William,R,Young,Aries,"Bindery machine tender",A+
male,John,L,Cote,Aries,"Information clerk",B+
male,Dennis,P,Wilkins,Leo,"Coil winder",A-
male,Luis,R,Hull,Pisces,Architect,A+
female,Dora,C,Marley,Cancer,"Keying machine operator",O+
female,Elva,C,Cook,Sagittarius,"Real property appraiser",A+
female,Geraldine,S,Johnson,Leo,"Billing and posting machine operator",A-
female,Britt,R,Joseph,Libra,"Electronic publisher",B+
female,Wanda,J,Dunbar,Leo,"Instructional specialist",A+
male,Michael,M,Wang,Aquarius,"Career-technical teacher",A+
female,Katelyn,K,Peterson,Sagittarius,"Network and computer systems administrator",B-
female,Linda,J,Allen,Libra,"Administrative support specialist",O+
female,Vanessa,D,Creech,Sagittarius,"Multimedia artist",B+
female,Barbara,L,Johnson,Sagittarius,"Ambulatory care nurse",O+
male,Chad,I,Antonelli,Libra,"Fishing vessel operator",B+
female,Anabel,D,Caine,Taurus,"Rotary drill operator",O+
female,Adela,D,Curtis,Pisces,"Milling and planing machine operator",A+
male,John,L,Merryman,Leo,"Nurse specialist",B+
female,Amber,R,Nguyen,Capricorn,"Cleaning supervisor",AB+
female,Dorothy,E,Hooper,Pisces,"Material distribution",O+
female,Rachel,P,Nee,Aquarius,"Mechanical engineer",O+
female,Robin,M,Medrano,Cancer,"Recreational therapist",B+
male,Jon,B,Hogan,Capricorn,"Nurse specialist",B+
male,Juan,C,Lange,Aries,Packager,A+
male,David,M,Klingler,Libra,"Billing and posting clerk",A+
male,Craig,P,Bluford,Cancer,"Unclaimed property officer",A-
female,Amy,W,Marshall,Scorpio,"Construction cost estimator",AB-
female,Charlotte,L,Barrick,Gemini,"Petroleum technician",O+
female,Jennifer,W,Bretz,Pisces,"Copy writer",AB+
female,Jana,C,Bonney,Leo,"Health physicist",B+
female,Edna,R,Alexander,Libra,"Administrative clerk",O+
male,Benjamin,V,Sampson,Aries,"Loan processing clerk",B+
female,Melissa,R,Moore,Scorpio,"Grocery bagger",O+
male,William,K,Justice,Libra,"Typesetting machine operator",A+
male,Lewis,E,Lyons,Virgo,"Sales clerk",A+
male,David,J,McCoy,Capricorn,"Bonus clerk",A+
male,George,V,Flannery,Sagittarius,"Staffing coordinator",B+
female,Jean,H,Barta,Leo,"Bank teller",B-
male,Darrell,M,Rodriguez,Sagittarius,"Cementing and gluing machine operator",A+
male,Sean,D,Jenkins,Taurus,"Greenhouse manager",O+
male,Carlos,V,Welch,Aquarius,Meatcutter,O+
female,Kathryn,M,Ginn,Pisces,Choreographer,O+
male,Jonathan,M,Jackson,Libra,Statistician,A+
female,Karin,M,Levy,Gemini,"Textile cutting machine operator",B+
female,Tanya,J,Coleman,Aquarius,"Manufacturing optician",AB+
male,Jose,J,Horne,Libra,"Orthopedic nurse",O-
female,Amy,B,Dykes,Gemini,"Time and attendance clerk",A+
male,Robert,J,Shuler,Aries,"Crushing, grinding, and polishing machine setter",O-
female,Peggy,R,Jordan,Cancer,"DEA agent",B+
male,Leopoldo,S,Smith,Cancer,"Front office manager",O+
male,Paul,E,Brewer,Cancer,"Musical instrument repairer",B+
male,Kenneth,M,Souder,Virgo,"Public adjuster",A+
female,Yolanda,D,Shaw,Aquarius,"Forest, conservation, and logging worker",O+
female,Katy,R,Cramer,Leo,"Agricultural and food science technician",O+
male,John,R,Abbey,Sagittarius,"Timekeeping clerk",O-
female,Sabrina,J,Akers,Virgo,"Loan closer",O+
female,Yolanda,D,Holloway,Gemini,"Admissions director",B+
female,Veronica,E,Nash,Libra,Promoter,B+
female,Stacey,S,Hargrove,Capricorn,"Medical coder",A+
male,Joe,A,Gray,Gemini,"Ophthalmologic sonographer",O+
male,William,M,Pearman,Pisces,"Office specialist",O+
male,Wallace,D,Whitaker,Cancer,"Nuclear power reactor operator",O+
female,Kristen,G,Comer,Virgo,"Correctional treatment specialist",O+
female,Eva,J,Lewis,Sagittarius,"Finance manager",B+
male,Craig,M,Vaughan,Pisces,"Merchandise displayer",AB+
male,Donnie,L,Boulanger,Leo,Keeper,B+
female,Esther,R,Hargrave,Virgo,"Private banker",B+
female,Charlotte,S,Fiorentino,Aries,"Public health dietitian",B+
male,Arthur,B,Abramowitz,Capricorn,"Forensic nurse",O+
male,Gabriel,K,Gibson,Pisces,"Sales manager",AB+
female,Helen,S,Richardson,Virgo,"Forming machine operator",B+
male,Troy,M,Allison,Virgo,"Attendance clerk",A+
male,Michael,B,Carrier,Sagittarius,"Ticket clerk",O+
female,Deborah,E,Bridges,Taurus,"Job analyst",A+
female,Mariann,H,Bell,Libra,"Chiropractic physician",B+
male,James,C,Anderson,Cancer,"Appliance repairer",O+
female,Nancy,G,Breaux,Pisces,"Landscape contractor",A+
male,Jerome,A,Delgado,Virgo,"Cementing and gluing machine tender",A+
male,George,S,Regina,Pisces,"Freight, stock, and material mover",A+
female,Mildred,J,Davis,Leo,"Neonatal nurse",O+
male,John,T,Sewell,Aquarius,"Portfolio manager",O+
female,Kayla,B,Slagle,Taurus,"Department head",A+
male,Eddie,R,Williams,Leo,"Shoe and leather worker",A+
male,Matthew,K,Johnson,Leo,"Home appliance repairer",O+
male,Richard,N,Valdez,Cancer,Marshal,B+
male,Larry,P,Shorter,Pisces,Packager,B+
female,Lisa,C,Hardesty,Aquarius,"Public health social worker",O+
female,Maria,H,Paille,Virgo,"Industrial machinery mechanic",B+
female,Ariana,J,McKenna,Taurus,"Foundry mold and coremaker",A+
male,Lloyd,T,Lynch,Pisces,"Microbiology technologist",O+
male,John,O,Shore,Leo,"Media director",O+
female,Wilma,R,Belford,Sagittarius,"Property custodian",O+
male,Christian,J,Dement,Leo,"Receive-and-deliver clerk",B+
female,Johnnie,M,Ketner,Taurus,"Guidance counselor",O+
female,Josephine,J,Brown,Gemini,"Meeting director",A+
female,Dianna,K,Wiltz,Gemini,"Affirmative action coordinator",O+
male,Steven,D,Comer,Gemini,"Bindery machine operator",O+
female,Pamela,G,Chen,Aries,Pointer,O+
male,William,M,Clements,Leo,"Outdoor power equipment mechanic",O+
female,Latisha,J,Baumann,Gemini,"Food and beverage serving and related worker",B+
female,Susan,W,Chang,Sagittarius,"Home health aide",A+
male,Kenneth,K,Smallwood,Pisces,"Job placement officer",O+
female,Sheila,S,Spivey,Gemini,"Sports instructor",A-
male,Jonathan,L,Strickland,Aquarius,"Industrial designer",A+
female,Melinda,T,Sanders,Libra,"Support specialist",A+
female,Melissa,R,Pawlak,Cancer,"Amusement machine servicer",O+
female,Lucille,D,Noble,Libra,"Lathe and turning machine tool setter",B+
female,Elizabeth,B,Watters,Leo,"Stock broker",O+
male,Eric,W,McBeth,Taurus,"Furniture finisher",A-
male,Kendrick,B,Henson,Capricorn,"Extruding, forming, pressing, and compacting machine operator",AB+
male,John,J,Bradshaw,Pisces,"Job development specialist",B+
female,Janet,E,Payne,Pisces,"Truck dispatcher",A+
female,Iva,M,Pagan,Sagittarius,"Die maker",A-
female,Celia,R,Lang,Libra,"Funeral attendant",A-
female,Mary,D,Kinsley,Cancer,"Plant custodian",O+
female,Mary,L,Hisey,Libra,Receptionist,AB+
male,William,A,Perez,Sagittarius,"Clinical dietitian",B+
male,Frank,R,Smith,Sagittarius,"Water transportation occupation",O+
male,Robert,D,Robb,Pisces,Clergy,B+
male,Roberto,A,Moore,Capricorn,"Agricultural and food scientist",B+
female,Reiko,D,Stone,Cancer,Writer,A-
male,Timothy,A,Burchard,Leo,"Office and administrative support worker manager",AB+
male,Robert,S,Redman,Aquarius,Criminologist,O+
male,Roberto,B,Smith,Gemini,"Design printing machine operator",A+
female,Sara,R,Ryder,Taurus,Electrician,B+
female,Hayley,R,Tapia,Sagittarius,"Utility meter reader",B+
male,Ernest,L,Lynch,Aquarius,"Agricultural laborer",A+
female,Marie,J,Gonzales,Gemini,"Personal attendant",B+
female,Heather,L,Moreno,Cancer,"Cardiology technologist",A+
male,Morris,R,Dodson,Taurus,"Knitting machine operator",B+
female,Linda,R,Wright,Scorpio,"Aircraft cargo handling supervisor",B+
male,Lloyd,L,Figueredo,Capricorn,"Tour guide",O+
male,Stanley,G,Gebhart,Gemini,Psychologist,B+
male,Leo,C,Trotter,Virgo,"Aircraft electrician",O+
female,Sandra,S,Scheffler,Scorpio,"Plant custodian",O-
male,Andrew,D,Bailey,Aries,"Health care executive",B+
male,Ronald,R,Benavides,Aquarius,"Sports official",O+
female,Barbara,M,Barrow,Taurus,"Vocational education teacher",O+
male,Lloyd,S,Crowder,Sagittarius,Printmaker,B+
female,Sherrie,D,Sandler,Sagittarius,"Surveillance agent",B+
male,Joe,T,Carman,Leo,"Personnel associate",O-
female,Raelene,R,Speight,Leo,"Delivery services truck driver",O+
male,Eugene,N,Phelps,Taurus,"Plumbing inspector",O-
female,Tammy,R,Sutton,Gemini,"Billing and posting clerk",O+
male,Joel,J,Wilkens,Taurus,"Park naturalist",B+
male,Richard,G,Murphy,Leo,"Monetary economist",A+
female,Loretta,D,Soto,Taurus,Arborist,O+
male,James,D,Anderson,Leo,Rancher,A+
male,Jamie,C,Wildman,Taurus,"Computer software engineer",B+
female,Coleen,H,Carrozza,Aquarius,"Public address system announcer",B+
female,Donnie,J,Matteson,Aries,"Financial examiner",O+
male,Adam,B,Edwards,Aries,"Electrical engineer",A+
male,Harry,T,Hedgepeth,Taurus,"Health services manager",B+
female,Shirley,J,Chen,Capricorn,"Foreign language interpreter",B+
male,Ali,H,Taylor,Sagittarius,Packer,O+
female,Mary,J,Grubb,Gemini,"Job training specialist",A+
female,Maritza,R,Barry,Leo,Principal,O+
male,Johnny,B,Jones,Aries,"Credentials specialist",A+
female,Ashlee,R,Green,Gemini,"College counselor",A+
male,Nicholas,R,Miller,Pisces,"Housing relocator",O+
female,Carla,C,Sykes,Aquarius,"Religious activities and education director",A+
female,Lisa,P,Gilbert,Gemini,"Occupational social worker",O+
male,Fred,S,Wright,Pisces,"Corporate accountant",O+
female,Helen,G,Martin,Aquarius,"Administrative assistant",B+
male,William,M,Bruce,Scorpio,"Data entry worker",O+
male,Dan,E,Guerra,Libra,"Auto damage appraiser",O+
female,Heidi,J,Dupras,Cancer,"Copy editor",A-
male,Travis,E,Ziemba,Gemini,"Professional athlete",A+
male,Jon,M,Williams,Pisces,"Engine and other machine assembler",O+
female,Shannon,K,Holt,Libra,"Coast Guard",B+
female,Margaret,J,Doris,Pisces,"Publicity expert",O+
female,Randee,N,Jones,Capricorn,"Paper coating machine operator",B+
female,Angela,D,Henderson,Cancer,"Public finance economist",A-
male,Andrew,S,Rowe,Aquarius,"Payroll specialist",A+
female,Jane,D,Moss,Gemini,Gerontologist,B+
female,Rebecca,R,Windsor,Aries,"Machine setter",B+
male,James,C,Horan,Scorpio,Trapper,AB+
male,Patrick,B,Felder,Cancer,"Speech therapist",AB+
female,Francis,D,Weeks,Aries,"Group exercise instructor",O+
female,Nora,D,Myers,Cancer,Etcher,O-
male,Leslie,J,Marty,Gemini,"Layout artist",O+
male,Dirk,A,Gast,Capricorn,"Human resources recruiter",O+
male,Jarred,M,Rogers,Virgo,Firefighter,O+
male,Alec,S,Sizemore,Libra,"Chief operating officer",B+
male,Andrew,K,Young,Gemini,"Construction engineer",A+
male,Cliff,B,Schulz,Pisces,"Metal caster",A+
female,Connie,K,Harkless,Pisces,"Music arranger",A+
female,Maria,N,Gill,Cancer,"Meeting director",AB+
female,Kyla,D,Hanson,Virgo,"Design consultant",AB+
male,Robert,G,Nolasco,Taurus,Writer,B+
female,Janet,E,Berry,Gemini,"Urban and regional planner",O+
female,Karen,J,Hall,Sagittarius,"Job placement officer",O+
female,Shemeka,S,Ramsey,Leo,"Painting, coating, and decorating worker",B+
female,Dorothy,R,Denman,Aquarius,"Electrical and electronics engineering technician",A+
female,Stephanie,C,Merritt,Scorpio,"Crushing, grinding, and polishing machine tender",O+
female,Linda,F,Rhynes,Aquarius,"Compensation and benefits technician",A-
female,Martha,J,Burkhart,Aries,"Mortgage loan officer",A+
female,Tonya,M,Hussey,Taurus,"Estimator project manager",A+
female,Eleanore,M,Jolly,Virgo,"State police officer",O+
female,Reyna,R,Ashlock,Virgo,"Public affairs specialist",O+
female,Carol,D,Hagemann,Capricorn,"Research dietitian",AB+
female,Lisa,H,Hopkins,Aries,"Ceiling tile installer",O+
female,Anne,J,Henke,Aries,"Automotive body and related repairer",A+
female,Daisy,J,Dowdy,Leo,Weigher,B+
female,Edna,V,Diamond,Sagittarius,Bellhop,A+
female,Brenda,J,Tovar,Virgo,"Biological scientist",A+
female,Julie,M,Jankowski,Sagittarius,"Travel agent",B+
female,Grace,E,Howe,Aries,"Management dietitian",B+
